Publication Number,Title,Priority Date,Publication Date,Primary Layer,Secondary Layers,Autonomy Signal,Matched Keywords,Autonomy Terms,Abstract
US2026131727A1,WORK VEHICLE PERCEPTION SYSTEM,2025-09-19,2026-05-14,L1 Perception,,N,[strong]\bperception\b,,"A perception system for a work vehicle includes a sensor pod having multiple monocular imaging devices with second and third imaging devices being disposed intermediate first and fourth imaging devices. A controller receives multiple two-dimensional images from the imaging devices and develops a first three-dimensional image from first and the third two-dimensional images, a second three-dimension"
AU2025242241A1,Work vehicle perception system,2025-10-03,2026-05-28,L1 Perception,,N,[strong]\bperception\b,,#$%^&amp;*AU2025242241A120260528.pdf##### 24 ABSTRACT OF THE DISCLOSURE 1 A perception system for a work vehicle includes a sensor pod having multiple 2 monocular imaging devices with second and third imaging devices being disposed 3 intermediate first and fourth imaging devices. A controller receives multiple two-4 dimensional images from the imaging devices and develops a first three-dimensional
US2026114375A1,Three dimensional grid map for receiving vehicle structural object location and avoidance during an unloading operation,2025-10-29,2026-04-30,L1 Perception,,N,[strong]point cloud,,"A work machine system includes a point cloud data sensor configured to detect point cloud data defining a plurality of points corresponding to a receiving vehicle and a grid map generator configured to identify a set of volumes and, for each respective volume in the set of volumes, identify a respective set of points having a location that corresponds to the respective volume and assign a point va"
EP4748214A1,LOCALIZATION SYSTEM FOR AUTONOMOUS WORK VEHICLES,2025-11-10,2026-05-27,L2 Localisation,,Y,[strong]locali[sz]ation,autonom,
US2025278099A1,POSITION-BASED INITIATION OF AUTO UNLOADING OPERATION,2024-03-01,2025-09-04,L3 Path Planning,,Y,[strong]path planning | [weak+aut]\bnavigation\b,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"A control system on a material transfer vehicle includes a path planning system that plans a path from the material transfer vehicle to a container, and a navigation system that navigates the material transfer vehicle along the navigation path. An auto unloading system automatically controls the material transfer vehicle as it approaches the container, positions itself closely proximate the contai"
WO2025184191A1,ROUGH APPROACH AND PRECISE CONTROL OF VEHICLE POSITION,2024-03-01,2025-09-04,L3 Path Planning,,N,[strong]path planning,,"<p num=""0000"">A navigation control system (112) on a material transfer vehicle (104) includes a rough approach location system (154) that identifies a rough location of a destination of the material transfer vehicle in order to perform an unloading operation. The rough location is provided to a path planning system (158) which generates a path (114, 120) that the material transfer vehicle follows "
US12650701B2,Position-based initiation of auto unloading operation,2024-03-01,2026-06-09,L3 Path Planning,,Y,[strong]path planning | [weak+aut]\bnavigation\b,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"A control system on a material transfer vehicle includes a path planning system that plans a path from the material transfer vehicle to a container, and a navigation system that navigates the material transfer vehicle along the navigation path. An auto unloading system automatically controls the material transfer vehicle as it approaches the container, positions itself closely proximate the contai"
US2026056553A1,ROUGH APPROACH AND PRECISE CONTROL OF VEHICLE POSITION,2024-03-01,2026-02-26,L3 Path Planning,,N,[strong]path planning,,A navigation control system on a material transfer vehicle includes a rough approach location system that identifies a rough location of a destination of the material transfer vehicle in order to perform an unloading operation. The rough location is provided to a path planning system which generates a path that the material transfer vehicle follows to the rough location. As the material transfer v
US2025331437A1,"VEHICLES, METHODS AND NON-TRANSITORY COMPUTER-READABLE MEDIA FOR REAL-TIME DYNAMIC PATH GENERATION",2024-04-26,2025-10-30,L3 Path Planning,,N,[strong]path generation,,"Vehicles, methods, and non-transitory computer-readable media are provided for dynamic path generation. A vehicle including a steering mechanism, and processing circuitry configured to cause the follower vehicle to generate a control point based on a first model and location information corresponding to a leader vehicle, the first model corresponding to the follower vehicle, and the location infor"
US2026054715A1,TRAJECTORY PATH PLANNING FOR BATTERY MANAGEMENT WITH INFINITELY VARIABLE TRANSMISSION OF A HYBRID VEHICLE,2024-08-23,2026-02-26,L3 Path Planning,,N,[strong]path planning,,"A method for controlling a vehicle includes obtaining topographic data associated with a geographic area, and selecting a path plan based on the topographic data. The path plan indicates a directional path of travel associated with the geographic area, and includes target states of charge (SOC) associated with the segments. The method includes identifying first segments having decreasing elevation"
EP4741588A1,VIRTUAL SAFETY BUBBLES FOR SAFE NAVIGATION OF CONSTRUCTION VEHICLES,2024-11-12,2026-05-13,L3 Path Planning,,Y,[weak+aut]\bnavigation\b,"autonom, autonomous operation",A control system deploys a virtual safety bubble for autonomous operation of a construction vehicle in a worksite. The control system obtains a work schedule for the construction vehicle to perform one construction action. The control system identifies one or more objects to be interacted with by the construction vehicle while performing the one construction action. The control system deploys a vi
EP4748215A1,DYNAMIC REACTIVE GUIDANCE AND PATH PLANNING FOR AUTONOMOUS WORK VEHICLES,2025-11-10,2026-05-27,L3 Path Planning,,Y,[strong]path planning,autonom,
EP4748216A1,LANE ENTRY AND EXIT PREDICTION FOR AUTONOMOUS WORK VEHICLE NAVIGATION,2025-11-11,2026-05-27,L3 Path Planning,,Y,[weak+aut]\bnavigation\b,autonom,
US2026133586A1,VIRTUAL SAFETY BUBBLES FOR SAFE NAVIGATION OF CONSTRUCTION VEHICLES,2025-11-12,2026-05-14,L3 Path Planning,,Y,[weak+aut]\bnavigation\b,"autonom, autonomous operation",A control system deploys a virtual safety bubble for autonomous operation of a construction vehicle in a worksite. The control system obtains a work schedule for the construction vehicle to perform one construction action. The control system identifies one or more objects to be interacted with by the construction vehicle while performing the one construction action. The control system deploys a vi
US2026015820A1,ADAPTIVE ECO MODE,2024-07-09,2026-01-15,L4 Grade Control,,Y,[strong]grade control,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"A work machine having an attachment, a frame, an engine, a ground-engaging mechanism, and a hydrostatic transmission operable in an economy mode. The work machine includes a controller to automatically control detection of: an economy mode signal from the hydrostatic transmission and the engine being operable in an economy mode, a grade control signal from the attachment, and an engine load for a "
EP4520873A1,SYSTEMS AND METHODS FOR GRADE CONTROL WINDOW ACTIVATION,2024-08-02,2025-03-12,L4 Grade Control,,N,[strong]grade control,,"Systems and methods for using a two-dimensional (2D) grade control system wherein the 2D grade control system remains enabled both while a blade of a bladed work machine performs a grading operation as the work machine makes a pass along the ground, and remains enabled while the blade is raised as the work machine is repositioned for another pass. Moreover, once enabled, the 2D grade control syste"
EP4703520A1,SELF-PROPELLED WORK VEHICLE AND METHOD OF CONTROLLING SUCH,2024-08-27,2026-03-04,L4 Grade Control,,Y,[weak+aut]work implement,self[- ]propelled,"A self-propelled work vehicle (120) is disclosed. The self-propelled vehicle comprising: a main frame (130) moveable with respect to terrain; a work implement (140), comprising a first and a second component (142, 144), and having a first end moveably coupled to the main frame (130) and having a second end moveable with respect to the main frame (130), the second end including a first working tool"
US2026062884A1,METHOD FOR INTERFACING MACHINE CONTROL SYSTEM WITH ATTACHMENT FOR AUTOMATION,2024-08-27,2026-03-05,L4 Grade Control,,Y,[weak+aut]machine control | [weak+aut]work implement,self[- ]propelled,"A system and method control the movements of a working tool attached to a work implement of a self-propelled work vehicle via a complex attachment, wherein the complex attachment provides at least one additional freedom of movement for the working tool. A machine control system within the work vehicle determines a trajectory for a point-of-interest for the working tool. The machine control system "
EP4704383A1,SYSTEM AND METHOD FOR REMOTELY ACTIVATING AUTONOMOUS ACTIONS BY WORK MACHINES,2024-08-31,2026-03-04,L4 Grade Control,,Y,[weak+aut]machine control,autonom,"Systems and methods are provided for securely activating actions by work machines, independent of distance between the machines and users requesting the actions. An authentication network is established between a host server, authorized users, and work machines, wherein authorized user computing devices are assigned authentication keys. A user sends a first message to the host server comprising re"
US2026067265A1,SYSTEM AND METHOD FOR REMOTELY ACTIVATING AUTONOMOUS ACTIONS BY WORK MACHINES,2024-08-31,2026-03-05,L4 Grade Control,,Y,[weak+aut]machine control,autonom,"Systems and methods are provided for securely activating actions by work machines, independent of distance between the machines and users requesting the actions. An authentication network is established between a host server, authorized users, and work machines, wherein authorized user computing devices are assigned authentication keys. A user sends a first message to the host server comprising re"
DE102025124249A1,WORKING MACHINE AND METHOD FOR AUTOMATICALLY CONTROLLING THE TRAJECTORY OF A WORKING DEVICE REGARDING A TARGET SURFACE PLANNING,2024-09-25,2026-03-26,L4 Grade Control,,Y,[strong]target (design )?surface | [weak+aut]\bblade\b | [weak+aut]\bbucket\b,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"A method is provided for controlling the movement of a ground engagement tool for a work machine, such as a bucket or blade coupled to the machine frame via a boom assembly, and in particular a location of interest, such as. B. a tool tip, described. A number of previous and/or future positions for a site of interest associated with the ground engagement tool are determined based on acquired data "
US2026085499A1,WORK MACHINE AND METHOD FOR AUTOMATICALLY CONTROLLING THE TRAJECTORY OF AN IMPLEMENT RELATIVE TO A TARGET SURFACE GRADE,2024-09-25,2026-03-26,L4 Grade Control,,Y,[strong]target (design )?surface | [weak+aut]\bblade\b | [weak+aut]\bbucket\b,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"A method is described for controlling movement of a ground-engaging tool for a work machine, for example a bucket or blade coupled to the machine frame via a boom assembly, and more particularly a point of interest such as a tool tip. A number of previous and/or future locations are determined for a point of interest associated with the ground-engaging tool, based on sensed point of interest data "
US2026152929A1,HOLDING DEVICE FOR A WORK VEHICLE ATTACHMENT,2024-12-04,2026-06-04,L4 Grade Control,,N,[strong]grade control,,"A method for calibrating a grade control reading of an attachment of a work vehicle operating on a worksite to a rover reading of a rover. The method comprises coupling a holding device to a rover pole coupled to the rover. The holding device has a rover pole receiving portion configured to receive the rover pole, a facing portion, and a bottom portion. The facing portion is positioned on a front "
US2026083056A1,SYSTEMS AND METHODS FOR PREDICTING MATERIAL DYNAMICS,2025-12-04,2026-03-26,L4 Grade Control,,Y,[weak+aut]machine control,automated (control|operat|excavat|dig|grad|steer|drive|travel|navigat|guid|machine),A first in-situ sensor detects a characteristic value as a mobile machine operates at a worksite. A second in-situ sensor detects a material dynamics characteristic value as the mobile machine operates at the worksite. A predictive model generator generates a predictive model that models a relationship between the characteristic and the materials dynamics characteristic based on the characteristic
EP4588757A1,REAR WHEEL STEERING ALIGNMENT CALIBRATION,2024-01-22,2025-07-23,L5 Machine Interface,,N,[strong]\bby[- ]?wire\b,,"A work vehicle includes steerable left and right front wheels and steerable left and right rear wheels and a manually operated steering input for steering the wheels through a hydraulic steering circuit connected to left and right front hydraulic actuators configured to steer the left and right front wheels. In order to perform a rear wheel alignment operation, the hydraulic steering circuit is by"
EP4438444A1,METHOD FOR OPERATING A HYDROSTATIC VEHICLE STEERING SYSTEM,2024-02-22,2024-10-02,L5 Machine Interface,,Y,[weak+aut]hydraulic control,autonom,"Method for operating a hydrostatic vehicle steering system (10), in which the vehicle steering system (10) has an input shaft (18) which can be rotated by means of a steering handle (16), an output shaft (20) for the rotary actuation of a steering metering valve (22) which serves for the hydraulic control of a steering cylinder (28) which interacts with steerable vehicle wheels (26), a coupling de"
DE102024133038A1,Construction functions with improved accuracy for pre -controlled machines,2024-11-12,2025-06-12,L5 Machine Interface,,Y,[weak+aut]electro[- ]?hydraulic | [weak+aut]joystick,automated (control|operat|excavat|dig|grad|steer|drive|travel|navigat|guid|machine),"An input tax hydraulic system of a work machine is upgraded with improved productivity features such as automatic height control, electronic limitation and intelligent output control. The directions entered by the operator via joystick and foot pedal input devices can be recorded with pressure sensors that are attached to the hydraulic input tax valves assigned to the input devices. Electrical sig"
