Publication Number,Title,Priority Date,Publication Date,Primary Layer,Secondary Layers,Autonomy Signal,Matched Keywords,Autonomy Terms,Abstract
JP2025134216A,"System including a work machine, work machine, and automatic travel control method for a work machine",2024-03-04,2025-09-17,L4 Grade Control,,Y,[weak+aut]excavat,"automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat), automated (control|operat|excavat|dig|grad|steer|drive|travel|navigat|guid|machine)","A system including a work machine that automatically moves to a start position for an automated task, a work machine, and an automatic travel control method for a work machine are provided.[Solution] A system including a work machine performs an automated operation that automates a series of operations, including excavating an excavation target (200) and loading the excavated material onto a loadi"
JP2025134217A,"System including a work machine, work machine, and method for automatically controlling a work machine",2024-03-04,2025-09-17,L4 Grade Control,,Y,[weak+aut]excavat | [weak+aut]work implement,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"The present invention provides a system including a work machine that is capable of issuing work instructions at appropriate times during automated work, a work machine, and an automatic control method for a work machine.[Solution] A system including a work machine performs automatic work by automating a series of operations, from excavating an excavation target to loading the excavated material o"
WO2025204569A1,"SYSTEM INCLUDING WORK MACHINE, WORK MACHINE, AND AUTOMATIC TRAVEL CONTROL METHOD FOR WORK MACHINE",2024-03-29,2025-10-02,L4 Grade Control,,Y,[weak+aut]excavat,"automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat), automated (control|operat|excavat|dig|grad|steer|drive|travel|navigat|guid|machine)","<p num=""0000"">A wheel loader (1) moves to a work start position (P2) for a second excavation target (200B) using the end of excavation of a first excavation target (200A) as a trigger. Thereafter, the second excavation target (200B) is excavated, and an automated operation which is a series of automated tasks for loading an excavation object having been excavated onto a loading target (300) is exe"
WO2026004257A1,"AUTOMATIC ROTATION CONTROL SYSTEM, WORK MACHINE, AND AUTOMATIC ROTATION CONTROL METHOD FOR WORK MACHINE",2024-06-27,2026-01-02,L4 Grade Control,,Y,[weak+aut]\bbucket\b,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"<p num=""0000"">A rotating body (3) rotates around a rotational axis (RX). A work machine (2) is attached to the rotating body (3) and has a bucket (8). An operation unit (25) receives a manual operation from an operator with respect to the work machine (2). A controller (50) performs automatic rotation control for automatically controlling the rotating body (3) and the work machine (2). When the ro"
WO2025057670A1,SYSTEM AND METHOD FOR CONTROLLING WORK MACHINE,2024-08-20,2025-03-20,L4 Grade Control,,N,[strong]target (design )?surface,,"<p num=""0000"">This system is for controlling a work machine and comprises a sensor and a controller. The sensor detects the position of the work machine. The controller acquires target terrain data indicating target terrain composed of a plurality of surfaces. The controller selects, from the plurality of surfaces, a plurality of work surfaces to be worked on. The controller groups the plurality o"
JP2025068002A,CONTROL SYSTEM AND CONTROL METHOD FOR CONTROLLING A CONSTRUCTION MACHINE,2025-02-14,2025-04-24,L4 Grade Control,,Y,[strong]target (design )?surface | [strong]design surface | [weak+aut]\bbucket\b | [weak+aut]excavat,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"A work machine is automatically controlled so that a tilt bucket moves along a target design surface.[Solution] A distance calculation unit calculates a first distance, which is a distance between a first bucket point, which is a point on the bucket, and a target design surface that indicates a target shape of an excavation target. The distance calculation unit calculates a second distance, which "
US2025250774A1,CONSTRUCTION MACHINE CONTROL SYSTEM AND CONSTRUCTION MACHINE CONTROL METHOD,2025-04-25,2025-08-07,L4 Grade Control,,N,[strong]design surface,,A control system of a construction machine comprises: a determination unit that determines a control object surface from a first design surface and a second design surface adjacent to the first design surface on the basis of a distance between a tilt bucket and the first design surface and a distance between the tilt bucket and the second design surface; a working equipment control unit that contr
WO2026042389A1,WORK MACHINE AND METHOD FOR CONTROLLING WORK MACHINE,2025-06-16,2026-02-26,L4 Grade Control,,Y,[strong]automatic excavation | [weak+aut]\bbucket\b | [weak+aut]excavat,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"<p num=""0000"">The present invention enables automatic control of excavation work in a simple manner. This work machine comprises: a boom; an arm connected to the boom; a bucket connected to the arm; and a controller that executes automatic excavation control for operating the arm in an excavation direction and for operating the bucket in the excavation direction. A boom operation mode, which is a "
JP2026021630A,Systems and methods for controlling a work machine,2025-11-20,2026-02-10,L4 Grade Control,,N,[strong]design surface,,To assist the operation of a work machine equipped with a tiltrotator.[Solution] A measurement value acquisition unit acquires measurement values from multiple sensors. A posture calculation unit calculates the posture of the attachment relative to the vehicle body. An intervention control unit determines a virtual rotation axis based on the calculated posture of the attachment. Based on the calcu
WO2025204489A1,ORDERING SYSTEM AND ORDERING METHOD,2024-03-26,2025-10-02,L6 Fleet Coordination,,N,[strong]dispatch,,"<p num=""0000"">An order reception unit receives an input of order information of work related to construction from an orderer. A price reception unit receives an input of a received order price of work related to the order information from an operator. An operator identification unit determines whether or not it is possible to dispatch, to the operator, the order of the work related to the order in"
WO2025182749A1,WORKSITE MANAGEMENT SYSTEM AND WORKSITE MANAGEMENT METHOD,2024-02-29,2025-09-04,L7 Digital Jobsite,,Y,[weak+aut]site management,unmanned,"<p num=""0000"">This worksite management system comprises: a target water-spraying area setting unit for setting a target water-spraying area in a work area of a worksite where a transport vehicle can travel; and a water-spraying data generation unit that calculates an evaluation function including a water-spraying evaluation item related to the spraying of water by an unmanned water-spraying vehicl"
KR20250129089A,"Control system of a working machine, working machine, control method of a working machine, and remote operation system of a working machine",2024-01-12,2025-08-28,L8 Remote Operations,,Y,[strong]remote operation,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"A control system of a work machine comprises a slewing body, a work machine mounted on the slewing body, a slewing parking brake capable of stopping the slewing of the slewing body, a slewing lock input device operated to operate the slewing parking brake, an automatic control command unit that outputs an automatic control command for automatically controlling the slewing body and the work machine"
JP2025127108A,"Remote control system for work machine, remote controller for work machine, and remote control method for work machine",2024-02-20,2025-09-01,L8 Remote Operations,,N,[strong]remote control | [strong]remote operation,,"The present invention aims to prevent a decrease in the work efficiency of a remotely controlled work machine.[Solution] The remote operation system includes a display device and a remote controller. The remote controller has an image data acquisition unit that receives image data captured by a camera mounted on the work machine, a display data generation unit that extracts display data of an extr"
JP2025147778A,"Emotion estimation device, emotion estimation method, and remote control system",2024-03-25,2025-10-07,L8 Remote Operations,,N,[strong]remote control,,To appropriately estimate the emotions of an operator while working.An efficiency evaluation unit calculates an evaluation value of the work efficiency of work performed by a work machine operated by an operator. An acquisition unit acquires vital data of the operator measured during work. An estimation unit estimates the operator's emotions during work based on the evaluation value and the vital 
JP2025150704A,"Work machine control system, work machine, work machine remote operation system, and work machine control method",2024-03-27,2025-10-09,L8 Remote Operations,,N,[strong]remote operation,,"[Problem] To suppress deterioration of a work machine.A control system for a work machine includes a controller that has an operation signal acquisition unit that acquires an operation signal from an operation device that is operated to operate a work implement of the work machine, and a work implement control unit that outputs a control command to reduce the rate of change of the operation signal"
JP2025150703A,"Work machine control system, work machine, work machine remote operation system, and work machine control method",2024-03-27,2025-10-09,L8 Remote Operations,,N,[strong]remote operation,,"[Problem] To suppress deterioration of a work machine.[Solution] A work machine control system includes a controller. The controller has an attitude determination unit that determines whether the height of a work implement of the work machine is equal to or greater than a predetermined height, an operation determination unit that, if it is determined that the height of the work implement is equal "
WO2025204387A1,"CONTROL SYSTEM FOR WORK MACHINE, WORK MACHINE, REMOTE OPERATION SYSTEM FOR WORK MACHINE, AND METHOD FOR CONTROLLING WORK MACHINE",2024-03-28,2025-10-02,L8 Remote Operations,,N,[strong]remote operation,,"<p num=""0000"">This control system for a work machine comprises a controller. The controller acquires an operation signal for switching the traveling direction of the work machine, determines whether the operation signal satisfies an acquired operating condition in a state where the work machine is traveling at a traveling speed equal to or higher than a first speed threshold, and prohibits output "
WO2025204156A1,WORK VEHICLE CONTROL SYSTEM AND WORK VEHICLE,2024-03-28,2025-10-02,L8 Remote Operations,L4 Grade Control,Y,[strong]remote operation | [strong]remotely operat | [weak+aut]machine control,remotely operat,"<p num=""0000"">A control system 1 of a work vehicle comprises: an image-capture device 128 for capturing an image of a site where construction is performed by a work vehicle provided with a work machine; a communication device 129 for transmitting the image captured by the image-capture device 128 to a remote operation room from which the work vehicle is remotely operated; a display control unit 22"
WO2025204535A1,"SYSTEM FOR CONTROLLING WORK MACHINE, WORK MACHINE, SYSTEM FOR REMOTELY OPERATING WORK MACHINE, AND METHOD FOR CONTROLLING WORK MACHINE",2024-03-28,2025-10-02,L8 Remote Operations,L4 Grade Control,Y,[strong]remotely operat | [weak+aut]excavat,remotely operat,"<p num=""0000"">This system for controlling a work machine comprises a controller. The controller recognizes a distance from a work machine to an excavation target, determines whether the work machine is traveling at a travel speed equal to or greater than a first speed threshold value, determines whether the work machine is moving forward toward the excavation target, and outputs a deceleration com"
JP2025151537A,"Work machine control system, work machine, work machine remote operation system, and work machine control method",2024-03-28,2025-10-09,L8 Remote Operations,,N,[strong]remote operation,,"[Problem] To suppress deterioration of a work machine.A construction machine control system includes a controller having an operation signal acquisition unit that acquires an operation signal from an operation device that is operated to switch the direction of travel of the construction machine, a condition determination unit that determines whether the operation signal satisfies an operation cond"
JP2025151538A,"Work machine control system, work machine, work machine remote operation system, and work machine control method",2024-03-28,2025-10-09,L8 Remote Operations,,N,[strong]remote operation,,"[Problem] To suppress deterioration of a work machine.A work machine control system includes a controller that has an operation signal acquisition unit that acquires an operation signal from an operation device that is operated to switch the work machine's direction of travel, a condition determination unit that determines whether the acquired operation signal satisfies an operating condition when"
JP2025176605A,Remote control system for work machine and remote control method for work machine,2024-05-21,2025-12-04,L8 Remote Operations,,N,[strong]remote control,,"A general-purpose operating device is used to remotely control a work machine.[Solution] A portable operating device includes a binary input unit that detects an input value of ON or OFF in response to an operation, and a continuous value input unit that detects an input value that is a continuous value in response to an amount of operation. A computer generates an operation command for a work mac"
JP2025182522A,Multi-remote controller and sheet shutter opening/closing control system,2024-06-03,2025-12-15,L8 Remote Operations,,N,[strong]remote control,,"A multi-remote controller capable of quickly and easily operating the opening and closing of a plurality of sheet shutters, and a sheet shutter opening and closing control system using the multi-remote controller are provided.[Solution] The multi-remote controller 1 is a multi-remote controller 1 capable of operating the opening and closing of multiple sheet shutters 2, and comprises multiple oper"
WO2025263036A1,"REMOTE OPERATION ASSISTANCE SYSTEM, REMOTE OPERATION DEVICE FOR WORK VEHICLE, AND REMOTE OPERATION ASSISTANCE METHOD",2024-06-17,2025-12-26,L8 Remote Operations,,N,[strong]remote operation,,"<p num=""0000"">This remote operation assistance system assists remote operation of a work vehicle. The work vehicle loads excavated material excavated by a bucket of a work machine into a loading container having a bottom part and a side wall part extending upward from the bottom part. The remote operation assistance system acquires orientation information indicating the orientation of the work mac"
WO2026034023A1,"SYSTEM FOR CONTROLLING WORK MACHINE, WORK MACHINE, SYSTEM FOR REMOTELY OPERATING WORK MACHINE, AND METHOD FOR CONTROLLING WORK MACHINE",2024-08-07,2026-02-12,L8 Remote Operations,,Y,[strong]remotely operat,remotely operat,"<p num=""0000"">This system for controlling a work machine comprises a controller. The controller uses terrain data indicating the shape of the ground around a work machine as a basis to determine whether there is a downward slope in the direction of travel of the work machine and outputs a control command for reducing the travel speed of the work machine on the basis of the gradient of a downward s"
JP2026036725A,"Work machine control system, work machine, work machine remote operation system, and work machine control method",2024-08-21,2026-03-06,L8 Remote Operations,,N,[strong]remote operation,,"To prevent a load held by a work machine from collapsing.A work machine control system includes a processor that receives operation signals from an operation device operated to operate a work machine having a work implement and a traveling gear, calculates constraint conditions for preventing a load held by the work implement from collapsing based on vehicle state parameters that indicate the oper"
JP2026065784A,Control system and control method for working machinery,2024-10-04,2026-04-16,L8 Remote Operations,L4 Grade Control,Y,[strong]remote control | [strong]remotely operat | [weak+aut]machine control,remotely operat,"[Problem] To ensure safety when changing the image displayed on the display device in a remote control room for operating machinery remotely.[Solution] The control system 1 for the work machine includes a plurality of imaging devices 128 that capture images of the work site where the work machine 100 equipped with a work machine is performing work, a communication device 129 that transmits the ima"
JP2026078815A,"Display control system, remote control system, and display control method",2024-10-29,2026-05-15,L8 Remote Operations,,N,[strong]remote control,,"[Problem] To provide a display control system, a remote control system, and a display control method that can appropriately supplement information.[Solution] The display control system is a display control system for a display device, which acquires measurement information measured by a work machine, generates a composite image including a reference image representing a height reference and a grou"
WO2025204746A1,"CONTROL SYSTEM FOR WORK MACHINE, WORK MACHINE, REMOTE OPERATION SYSTEM FOR WORK MACHINE, AND CONTROL METHOD FOR WORK MACHINE",2025-03-07,2025-10-02,L8 Remote Operations,,N,[strong]remote operation,,"<p num=""0000"">This control system for a work machine comprises a controller. The controller determines the presence or absence of a prescribed action in which a work equipment bucket of the work machine repeats a tilting action and a dumping action, and when it is determined that the prescribed action has been performed and the action speed of the prescribed action has exceeded a threshold value, "
WO2026094459A1,"DISPLAY CONTROL SYSTEM, REMOTE OPERATION SYSTEM, AND DISPLAY CONTROL METHOD",2025-09-16,2026-05-07,L8 Remote Operations,,N,[strong]remote operation,,"<p num=""0000"">This display control system is for a display device and: acquires measurement information obtained through measurement by a work machine; generates and displays a composite image on the display device, the composite image including a reference image representing a reference in the height direction and a ground contact surface height image representing the height of a ground contact s"
WO2026075061A1,CONTROL SYSTEM FOR WORK MACHINE AND CONTROL METHOD FOR WORK MACHINE,2025-09-29,2026-04-09,L8 Remote Operations,L4 Grade Control,Y,[strong]remote operation | [strong]remotely operat | [weak+aut]machine control,remotely operat,"<p num=""0000"">This control system 1 for a work machine comprises a plurality of imaging devices 128 that capture images of a site where a work machine 100 comprising a work apparatus performs construction, a communication device 129 that transmits the images captured by the imaging devices 128 to a remote operation room where the work machine 100 is remotely operated, a display control unit 221 th"
