Publication Number,Title,Priority Date,Publication Date,Primary Layer,Secondary Layers,Autonomy Signal,Matched Keywords,Autonomy Terms,Abstract
CN119469116A,"Point cloud map construction method and device, excavator, and computer-readable storage medium",2024-11-28,2025-02-18,L1 Perception,,N,[strong]point cloud,,"The present disclosure relates to a point cloud map construction method and device, an excavator, and a computer-readable storage medium, and relates to the technical field of engineering machinery. The point cloud map construction method includes: obtaining point cloud data of a first radar, a second radar, and a third radar of an excavator; merging the point cloud data of the first radar, the se"
CN120351913A,A visual navigation method for binocular backpack AGV,2025-03-12,2025-07-22,L1 Perception,,N,[strong]stereo camera,,"The invention discloses a visual navigation method for a binocular backpack AGV trolley, comprising: a domain controller detects and matches X corner points in real time according to image information, and calculates image pixel coordinates and image physical coordinates of all current X corner points; the domain controller calculates the real-time length of the current AGV trolley from a visual l"
CN120689283A,Device and method for automatically identifying crane wire rope ratio,2025-06-03,2025-09-23,L1 Perception,L8 Remote Operations,Y,[weak+aut]\bcamera\b | [weak+aut]image recognition | [weak+aut]edge comput,deep learning,"The present invention discloses a device and method for automatically identifying the ratio of a crane wire rope. The device comprises an image acquisition device that captures images of the crane hook and pulley assembly, an edge computing unit that intelligently analyzes and preprocesses the images using a trained deep learning model for ratio recognition, and identifies the crane's actual ratio"
CN120863570A,An autonomous braking anti-collision system for a loader and the loader itself.,2025-07-30,2025-10-31,L1 Perception,,Y,[weak+aut]\bcamera\b,autonom,This invention discloses an autonomous braking anti-collision system for a loader and the loader itself. The system includes: a camera for collecting video information within a set range around the loader; a speed detection unit for collecting the loader's travel speed; a braking unit for braking the loader; and a controller. The controller receives the video information collected by the camera an
CN121392001A,A smart environmental perception and calibration optimization system and its usage method,2025-09-24,2026-01-23,L1 Perception,,N,[strong]lidar | [strong]point cloud | [strong]\bperception\b,,"This invention discloses an intelligent environmental perception and calibration optimization system and its usage method. The system includes six modules: camera intrinsic parameter calibration, extrinsic parameter calibration, data acquisition and frequency adjustment, annotation and training, model conversion and inference, and fusion and publishing. The camera intrinsic parameter calibration m"
CN121063399A,A method and system for monitoring the abnormal fall of a crane counterweight,2025-09-28,2025-12-05,L1 Perception,,N,[strong]\bperception\b,,This invention discloses a method and system for monitoring the abnormal fall of a crane's counterweight. The method includes obtaining the weight of the counterweight under the current working condition of the crane; calculating a preset pressure threshold based on this weight and the structural parameters of the counterweight cylinder; detecting the pressure value of the small cavity of the coun
CN121346767A,A method and apparatus for positioning and mapping of industrial truck cranes based on multi-sensor fusion,2025-10-23,2026-01-16,L1 Perception,L2 Localisation,N,[strong]lidar | [strong]sensor fusion | [strong]point cloud | [strong]\bperception\b | [strong]map matching,,"A method and apparatus for positioning and mapping industrial truck cranes based on multi-sensor fusion, relating to the field of machine perception, includes the following steps: initializing the pose and inertial measurement unit (IMU) bias using input laser point clouds and IMU pre-integration results; correcting laser point cloud motion distortion using the IMU, extracting dynamic object point"
CN121251310A,A control method and system for a wheel-type rotary drilling rig,2025-11-07,2026-01-02,L1 Perception,,N,[strong]\bperception\b,,"This invention discloses a control method and system for a wheel-walking rotary drilling rig, comprising the following steps: S1: self-leveling of the vehicle platform; S2: tilt angle calibration of the vehicle platform; S3: automatic mast sag adjustment; S4: hole drilling operation. The beneficial effects of this invention are: based on the traditional walking excavator control system, correspond"
CN121496975A,A multi-sensor fusion excavator quick connector and its operation method,2025-12-09,2026-02-10,L1 Perception,,N,[strong]sensor fusion,,"This invention discloses a multi-sensor fusion excavator quick connector and its control method. The connector includes a main body composed of side plates and ribs, with a slider and a movable lock slidably mounted internally via guide rods and driven by a hydraulic cylinder. The core of the invention lies in the integration of a hydraulic control system, a sensor system, and an electronic contro"
CN121626862A,"An electric drive rotary system, control method and engineering machinery",2025-12-11,2026-03-10,L1 Perception,,N,[strong]\bperception\b,,"This invention relates to the field of electric drive slewing control, specifically to an electric drive slewing system, control method, and engineering machinery. The electric drive slewing system includes: a frame; a turntable mounted on the frame via a slewing support, with the operator's cab connected to and rotating synchronously with the turntable; a slewing motor for driving the turntable t"
CN121496982A,A method and device for controlling excavator operation actions based on bucket trajectory planning,2025-12-22,2026-02-10,L1 Perception,L3 Path Planning; L4 Grade Control; L7 Digital Jobsite,N,[strong]\bperception\b | [strong]trajectory planning | [strong]bucket trajectory | [strong]building information model,,"This invention discloses a method and device for controlling excavator operation actions based on bucket trajectory planning, belonging to the field of construction machinery automation technology. The method includes: acquiring excavator posture perception data and excavator environment perception data; the excavator posture perception data includes the angles of each joint of the excavator; acqu"
CN121904230A,A crane operation environment perception map construction system and method,2026-01-09,2026-04-21,L1 Perception,,N,[strong]\bperception\b,,"This invention relates to a crane operation environment perception map construction system and method. The system includes a sensor module, a data processing module, a storage module, a communication module, and a display terminal. The data processing module includes a data synchronization unit, a data filtering unit, a data fusion unit, a map construction unit, and a map updating unit. This inven"
CN122018500A,"A method, system, device and storage medium for autonomous operation path tracking control of a road roller.",2026-01-21,2026-05-12,L1 Perception,,Y,[strong]\bperception\b,"autonom, autonomous operation","This invention discloses a method, system, device, and storage medium for autonomous operation path tracking control of a road roller, comprising: acquiring the current position, attitude, motion state, and environmental perception data of the road roller through a multi-sensor assembly; calculating the distance and angle deviations between the road roller and the preset operation path based on th"
CN118345804A,"Control method, device, electronic equipment and storage medium for pile driver",2024-05-09,2024-07-16,L3 Path Planning,,N,[strong]path planning,,"The present application proposes a control method, device, electronic device and storage medium for a pile driver. The method includes: obtaining a target piling position and a pile driver stop position in a piling area, and based on the target piling position and the pile driver stop position, performing path planning for the pile driver to obtain a piling path for the pile driver; based on the p"
CN119270845A,An AGV forklift based on hierarchical design and hierarchical design method,2024-09-30,2025-01-07,L3 Path Planning,,N,[strong]path planning,,"The present application provides an AGV forklift layering and design method based on layered design, including dividing the AGV forklift into: a scheduling system, a navigation control system and an electromechanical hydraulic wire control system according to system functions from top to bottom, wherein the scheduling system is used for task scheduling, path planning and traffic control; connectin"
CN119452869A,A trimming machine,2024-11-21,2025-02-18,L3 Path Planning,,N,[strong]obstacle avoidance,,"The present invention provides a trimmer in the technical field of road maintenance machinery, including a transmission mechanism, a cam mechanism, a frame, an arm and a swing mechanism; the transmission mechanism includes a power input shaft system, a main shaft shaft system, a slewing support and a plurality of cutter shaft systems; the power input shaft system and the main shaft shaft system, t"
CN119660583A,A crane motion control method and system,2024-12-27,2025-03-21,L3 Path Planning,,N,[strong]path planning,,"The present invention discloses a crane motion control method and system in the field of crane path planning technology, aiming to solve the technical problems that the trajectory has many bends, the actual path is long, and the error control is not taken into account, and there is a lack of control means for converting the planned path. It includes: obtaining an inverse kinematics model, starting"
CN119781412A,An industrial mobile robot control system for forklift cabin assembly production line,2024-12-31,2025-04-08,L3 Path Planning,,N,[strong]obstacle avoidance,,"The present invention discloses an industrial mobile robot control system for a forklift cabin assembly production line, comprising: a power battery, a control system, and an execution system, wherein the power battery supplies power to the control system and the execution system, and the control system controls the execution mechanism to work according to the job scheduling and related control re"
CN119777297A,A net collector and cleaning equipment,2024-12-31,2025-04-08,L3 Path Planning,,N,[strong]obstacle avoidance,,"The present invention discloses a net collector and cleaning equipment in the technical field of sanitation roadblock cleaning, wherein the net collector comprises a pair of cylinder seats and fixed arms connected to the front connecting frame of the cleaning equipment main body, a hydraulic cylinder connected to the cylinder seats, a flip arm connected to the hydraulic cylinder, a connecting plat"
CN120163353A,A method and system for low-carbon technology modeling and carbon reduction path planning in manufacturing industry,2025-02-06,2025-06-17,L3 Path Planning,,N,[strong]path planning,,"The present invention discloses a method and system for modeling low-carbon technology and planning carbon reduction paths in the manufacturing industry, and belongs to the field of carbon reduction path prediction in the manufacturing industry. The method includes: determining the future carbon emission development path of the enterprise under the baseline scenario; determining the future carbon "
CN120004159A,Mast crane online trajectory planning method and system with guaranteed state constraints,2025-04-16,2025-05-16,L3 Path Planning,,Y,[strong]trajectory planning,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"The present invention relates to the technical field of automatic control of under-actuated systems, and provides a method and system for online trajectory planning of a mast crane that guarantees state constraints. The method includes constructing a linear kinematic model of the mast crane and performing model transformation to obtain a state space model for trajectory planning; solving the analy"
CN120291423A,Mobile operation system with obstacle avoidance function and obstacle avoidance method for operation device thereof,2025-04-18,2025-07-11,L3 Path Planning,,N,[strong]obstacle avoidance,,"The present disclosure provides a mobile working system with obstacle avoidance function and an obstacle avoidance method for its working device. The mobile working system moves forward and backward for working, and comprises: a main frame; a working device, located on one side of the main frame along the left-right direction, comprising a tool mounting arm and a working tool, the tool mounting ar"
CN121067856A,A method and system for multi-AGV path planning in engineering machinery assembly workshops based on the fusion of an improved A* algorithm and DWA.,2025-08-18,2025-12-05,L3 Path Planning,,Y,[strong]path planning,automated (control|operat|excavat|dig|grad|steer|drive|travel|navigat|guid|machine),"This invention proposes a method and system for multi-AGV (Automated Guided Vehicle) operation path planning in engineering machinery assembly workshops, based on an improved A* algorithm and DWA (Dynamic Path Analysis). The method includes initializing a grid map, setting the starting and ending points of transport, and the locations of obstacles; performing global path planning on the grid map b"
CN121063452A,A heavy-duty backpack lifting AGV suitable for indoor and outdoor transportation,2025-09-30,2025-12-05,L3 Path Planning,L5 Machine Interface,Y,[strong]obstacle avoidance | [weak+aut]\bnavigation\b | [weak+aut]electro[- ]?hydraulic,automated (control|operat|excavat|dig|grad|steer|drive|travel|navigat|guid|machine),"This invention relates to the field of automated guided vehicles (AGVs), specifically to a heavy-duty carrying and lifting AGV used in the engineering machinery industry for transporting various complex materials in both indoor and short-distance outdoor environments. The vehicle employs a navigation and obstacle avoidance technology solution combining 3D navigation, 2D obstacle avoidance, QR code"
CN221972554U,Blade control system and engineering machinery,2024-01-19,2024-11-08,L4 Grade Control,,N,[strong]blade control,,"The utility model discloses a blade control system and engineering machinery, including a control handle, an engine ECU, a vehicle controller and a plurality of solenoid valves, wherein the control handle and the engine ECU are respectively connected to the input end of the vehicle controller, and the output end of the vehicle controller is connected to the solenoid valve, and the solenoid valve i"
CN117738048A,A road detection system and method based on process control,2024-01-30,2024-03-22,L4 Grade Control,,Y,[strong]automatic leveling | [weak+aut]leveling,automated (control|operat|excavat|dig|grad|steer|drive|travel|navigat|guid|machine),"The invention discloses a road detection system and method based on process control, including a variable automatic leveling algorithm for paving and an online flatness detection technology for a final pressure roller. This technical method rasterizes the road surface and calculates each grid. The average height of the pavement within the grid is paved in reverse order to achieve a smooth final pa"
CN118461705A,A method and system for intelligent control of body posture of walking excavator,2024-04-29,2024-08-09,L4 Grade Control,,Y,[weak+aut]excavat,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"The present invention discloses a method and system for intelligently controlling the body posture of a walking excavator in the technical field of automatic control of walking excavators. The method comprises detecting the body posture information and device state parameters, transmitting them to a controller, judging whether the body posture is safe, calculating the center of gravity of the whol"
CN118423327A,A single-link multi-action proportional control auxiliary control system and method,2024-06-07,2024-08-02,L4 Grade Control,,N,[strong]grade control,,"The present invention discloses a single-link multi-action proportional control auxiliary control system and method, the system includes: a main system pressure module, a pilot pressure output module, a proportional control module, a single-link solenoid valve control module, and a multi-action distribution module; the main system pressure module is connected to the single-link solenoid valve cont"
CN118482021A,A cooling fan adaptive purge control method and system,2024-06-14,2024-08-13,L4 Grade Control,,Y,[weak+aut]excavat,neural network,"The present invention discloses a cooling fan adaptive purge control method and system. The normal predicted temperature of the excavator engine coolant based on the BP neural network is compared with the actual engine coolant temperature at present, and the dust accumulation degree of the engine cooling core is estimated. According to different dust accumulation degrees, the cooling fan is contro"
CN118390600A,"Loader bucket automatic leveling system, method and loader",2024-06-21,2024-07-26,L4 Grade Control,,N,[strong]automatic leveling,,"The present invention relates to an automatic leveling system, method and loader for a loader bucket. The automatic leveling system for a loader bucket comprises: a boom cylinder, which is driven and connected to a boom; a bucket cylinder, which is driven and connected to a bucket; a first displacement sensor, which is arranged at the boom cylinder and is configured to detect the stroke of the boo"
CN118971678A,"Distributed motor control method, system and electric excavator based on dynamic load",2024-06-27,2024-11-15,L4 Grade Control,,Y,[weak+aut]excavat,neural network,"The present invention provides a distributed motor control method, system and electric excavator based on dynamic load. Based on the collected data of the electric signal and change rate of the excavator operating handle, the pressure and change rate of the hydraulic pump and the flow rate and change rate of the hydraulic pump, a recognition model of the excavator under different working states an"
CN119243804A,A silt remover control system and method for suction equipment,2024-09-18,2025-01-03,L4 Grade Control,,Y,[weak+aut]machine control,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"The present invention discloses a dredging machine control system and method for suction equipment, which belongs to the field of automatic control of sanitation machinery and equipment. The method includes: obtaining the operation data of the dredging machine; when the rotary auger rotates forward, judging whether the rotary auger is stuck when rotating forward according to the comparison result "
CN119266070A,A milling machine leveling zero position automatic calibration system and method,2024-09-29,2025-01-07,L4 Grade Control,,N,[strong]automatic leveling,,"The present invention provides a zero-position automatic calibration system for leveling a milling machine, comprising: a GNSS antenna, a multi-line laser radar, a controller, a PID regulator, a database and a blower installed on a vehicle body; particulate debris is cleaned by the blower, the actual milling depth of the current position is measured by the multi-line laser radar, the longitude and"
CN119821070A,Suspension automatic leveling control device and method,2025-02-14,2025-04-15,L4 Grade Control,,N,[strong]automatic leveling,,"The present invention discloses a suspension automatic leveling control device and method, belonging to the field of suspension leveling technology, the device comprises: a suspension position acquisition module, used to acquire the position of the suspension; a vehicle state acquisition module, used to acquire the vertical running state and tilt state of the vehicle; a control module, used to con"
CN120350721A,One-key grab control system and method for continuous wall grab,2025-06-23,2025-07-22,L4 Grade Control,,Y,[weak+aut]\bbucket\b,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"The invention discloses a one-key grab control system and method for a continuous wall grab, belonging to the technical field of continuous wall grab control systems. The method comprises triggering an automatic control process by a single key, and executing the following cyclic operations until a termination condition is met: lowering the grab at a preset winch lowering speed; triggering a bucket"
CN120853367A,A remote control box for a paver and the paver,2025-07-24,2025-10-28,L4 Grade Control,L8 Remote Operations,N,[strong]automatic leveling | [strong]remote control,,"This invention provides a remote control box for a paver and a paver itself, belonging to the field of paver equipment. It includes: a remote control box body, a frequency converter leveling control module, and a support frame. In addition to the control buttons found on a standard remote control box, the remote control box body has two sets of leveling control buttons on its surface, used to cont"
CN120700945A,Automatic slope control method and system for grader,2025-08-07,2025-09-26,L4 Grade Control,,Y,[weak+aut]\bblade\b,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"The present invention discloses a method and system for automatically controlling the slope of a motor grader, belonging to the technical field of slope control for construction machinery. The system comprises a posture calibration module, a coordinate acquisition module, a sensor module, a slope calculation module, and a hydraulic system module. The posture calibration module is used to establish"
CN121024154A,A power control method and system suitable for hybrid excavators,2025-09-26,2025-11-28,L4 Grade Control,,Y,[weak+aut]excavat,neural network,"This invention discloses a power control method and system suitable for hybrid excavators, relating to the field of engineering machinery technology. The method includes: acquiring and preprocessing time-series data; inputting the preprocessed time-series data into a trained LSTM neural network model to predict the slewing motor power at future times; predicting battery power based on the slewing "
CN121823160A,"Autonomous unloading control method, device and system for loaders",2025-11-07,2026-04-10,L4 Grade Control,,Y,[weak+aut]\bbucket\b,autonom,"This invention discloses a method, device, and system for autonomous unloading control of a loader. The method includes calculating the target boom angle of the loader based on the dimensions of the loading truck bed; generating control commands to dynamically adjust the loader's speed and/or boom lifting speed based on the target boom angle, the real-time distance between the loader and the loadi"
CN121556528A,A bulldozer blade control system and a bulldozer,2025-11-11,2026-02-24,L4 Grade Control,,N,[strong]blade control,,"This application discloses a bulldozer blade control system and a bulldozer, further comprising a hydraulic pump, a multi-way directional valve, and a control valve assembly. The working port of the multi-way directional valve is connected to the oil inlet of the control valve assembly, and the working port of the control valve assembly is respectively connected to the rod-side and rodless chamber"
CN121496980A,"A method and device for output control of the power system of a hybrid excavator, and the hybrid excavator thereof.",2025-11-28,2026-02-10,L4 Grade Control,,Y,[weak+aut]excavat,neural network,"This invention discloses a method, device, and hybrid excavator for output control of a hybrid excavator's power system. The hybrid excavator includes an engine, an ISG motor, and a hydraulic pump coaxially connected. The ISG motor is electrically connected to a power battery, and the vehicle controller is electrically connected to the engine, ISG motor, hydraulic pump, and power battery. The meth"
CN121573572A,"A method, system and engineering machinery for leveling vehicle outriggers",2025-12-19,2026-02-27,L4 Grade Control,,N,[strong]automatic leveling,,"This invention discloses a vehicle outrigger leveling control method, system, and engineering machinery. The method includes: acquiring real-time tilt angle signals of the vehicle frame and real-time torque signals of each outrigger drive device; determining the ground contact state of each outrigger based on the real-time torque signals; determining one outrigger from multiple outriggers as the l"
CN121827420A,A Modular Control-Based Electric Loader Cylinder Drive Method and System,2025-12-26,2026-04-10,L4 Grade Control,,Y,[weak+aut]\bbucket\b,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"This invention discloses a modular control-based electric loader cylinder drive method and system. The method achieves precise control of the steering cylinder, boom cylinder, and bucket cylinder through the coordinated operation of an electric cylinder enable control module, an electric cylinder brake control module, and an electric cylinder command calculation module. Specifically, the electric "
CN121875318A,Fully Hydraulic Bulldozer Blade Control System,2026-02-28,2026-04-17,L4 Grade Control,,N,[strong]blade control,,"This invention discloses a fully hydraulic bulldozer blade control system, including a tilt control handle and a lifting control handle. Each handle is equipped with a thumb wheel for controlling the extension and retraction of the blade. All handles and thumb wheels are equipped with angle detection devices, which are connected to a controller. The controller converts the rotation angle into a co"
CN118907225A,A method and system for testing steering-by-wire performance of a controlled-by-wire crawler chassis,2024-07-17,2024-11-08,L5 Machine Interface,,N,[strong]\bby[- ]?wire\b,,"The present invention discloses a method and system for testing the steering-by-wire performance of a controlled-by-wire crawler chassis in the field of engineering machinery technology, aiming to solve the problem that the controlled-by-wire steering performance testing method in the prior art is only applicable to the traditional wheeled controlled-by-wire chassis, but not to the engineering mac"
CN119370071A,A hydraulic brake system for an electronically controlled vehicle,2024-10-24,2025-01-28,L5 Machine Interface,,Y,[weak+aut]hydraulic control,autonom,"The present invention discloses a hydraulic brake system for an electronically controlled vehicle in the field of hydraulic brake technology, aiming to solve the problem of small brake flow and slow response of the brake system in the prior art. It includes: abandoning the traditional brake system that directly uses a pump body to charge the brake, but configuring a brake accumulator to charge the"
CN119593465B,"Automatic return-to-center control method, device, and system for loader steering",2024-12-19,2025-10-14,L5 Machine Interface,,Y,[weak+aut]solenoid valve,automatic(ally)? (control|operat|excavat|dig|grad|steer|drive|travel|navigat),"The present invention discloses a method, device, and system for controlling automatic steering return of a loader. The method comprises obtaining the real-time angle between the front and rear bodies; determining whether to execute an automatic steering return mode based on a return button status signal, a steering handle opening, and the difference between the real-time angle between the front a"
CN121084482A,Steer-by-wire systems and engineering vehicles,2025-11-04,2025-12-09,L5 Machine Interface,,N,[strong]\bby[- ]?wire\b,,"This disclosure relates to a steer-by-wire system and an engineering vehicle. The steer-by-wire system includes: a front axle assembly having a first front axle steering gear (11), a first front axle steering cylinder (12), a second front axle steering gear (13), a second front axle steering cylinder (14), a first tie rod (15), and a second tie rod (16), wherein the first front axle steering gear "
CN121375520A,A distributed drive crane chassis device and its control method based on a hybrid power system,2025-11-06,2026-01-23,L5 Machine Interface,,N,[strong]\bby[- ]?wire\b,,"This invention discloses a distributed drive crane chassis device and its control method based on a hybrid power system, belonging to the field of engineering machinery chassis technology. The device includes a range extender or parallel hybrid power system, a power battery, a distributed electric drive axle, a vehicle control unit (VCU), and a steer-by-wire and brake-by-wire system. The range ext"
CN117878931B,An emergency energy dispatching system and method for a new energy power station,2024-03-12,2024-07-05,L6 Fleet Coordination,,N,[strong]dispatch,,"The present application proposes an emergency energy dispatching system and method for a new energy power station, wherein the system includes a power management subsystem, an electric energy distribution subsystem, an energy conversion subsystem, a data interaction and monitoring subsystem, and a coordination control subsystem; the power management subsystem obtains the status information of the "
CN119335906A,Intelligent control management method and device for pile driver based on big data,2024-09-09,2025-01-21,L6 Fleet Coordination,,N,[strong]dispatch,,"The present application proposes a method and device for intelligent control management of a pile driver based on big data, which relates to the field of pile driver management and control technology, wherein the method includes: obtaining historical piling data of the pile driver during operation, and training a control model based on the historical piling data; obtaining construction tasks withi"
CN119539318A,A method and system for intelligent maintenance dispatching of industrial production equipment,2024-09-29,2025-02-28,L6 Fleet Coordination,,N,[strong]dispatch,,"The present invention relates to an intelligent maintenance dispatching method and system for industrial production equipment, and belongs to the technical field of intelligent dispatching. Obtain a repair work order to be assigned, the repair work order to be assigned includes at least the following information: faulty equipment, fault location, and fault phenomenon; based on a pre-constructed kn"
CN119476026A,A method and system for intelligent management of fuel cells,2024-11-11,2025-02-18,L6 Fleet Coordination,,N,[strong]task allocation,,"The present invention discloses an intelligent management method and system for fuel cells, the method comprising: constructing a fuel cell degradation empirical model and a fuel cell life prediction model; after using a comparison set to set the model weights of the fuel cell degradation empirical model and the fuel cell life prediction model, superimposing the fuel cell degradation empirical mod"
CN119476026B,A method and system for intelligent management of fuel cells,2024-11-11,2025-07-01,L6 Fleet Coordination,,N,[strong]task allocation,,"The present invention discloses an intelligent management method and system for fuel cells, the method comprising: constructing a fuel cell degradation empirical model and a fuel cell life prediction model; after using a comparison set to set the model weights of the fuel cell degradation empirical model and the fuel cell life prediction model, superimposing the fuel cell degradation empirical mod"
CN120735728A,A high-voltage lithium-ion counterbalanced forklift battery replacement system,2025-06-30,2025-10-03,L6 Fleet Coordination,,N,[strong]dispatch,,"The present invention discloses a battery replacement system for a high-voltage lithium-ion counterbalanced forklift, comprising: a split high-voltage battery system is arranged inside the body of the battery replacement forklift, and the split high-voltage battery system supplies power to the body of the battery replacement forklift; an explosion-proof box-type battery replacement station has the"
CN121165473A,A Multi-Motor Cooperative Control Method and System for Underground Loaders Based on Working Condition Identification,2025-09-12,2025-12-19,L6 Fleet Coordination,,N,[strong]cooperative (control|driving),,"This invention discloses a multi-motor cooperative control method and system for underground loader based on working condition identification. The method includes multiplying the acquired real-time working condition parameter vector with a preset weight coefficient vector to obtain processed working condition parameters, and then feeding these parameters into a pre-trained working condition identi"
CN119886713A,"A road construction scheduling system, method and storage medium based on multi-environment information digital twin",2025-01-02,2025-04-25,L7 Digital Jobsite,,N,[strong]digital twin,,"The present invention discloses a road construction scheduling system, method and storage medium based on digital twin of multi-dimensional environmental information, belonging to the field of road construction technology. The system includes a data acquisition unit, a digital twin platform and a construction scheduling control unit which are connected to each other for communication; the data acq"
CN121386921A,TRD Equipment Construction Vertical Control Method and System Based on Digital Twin,2025-11-06,2026-01-23,L7 Digital Jobsite,,N,[strong]digital twin,,"This invention discloses a method and system for vertical control of TRD equipment construction based on digital twins, belonging to the field of TRD equipment construction control technology. The method includes: creating a three-dimensional dynamic twin that is synchronously and faithfully synchronized with the TRD equipment and the construction geological environment; connecting a physical sens"
CN121701163A,A smart fracturing integrated control system and method,2025-11-28,2026-03-20,L7 Digital Jobsite,,N,[strong]digital twin,,"This invention discloses an intelligent fracturing integrated control system and method, belonging to the field of oil reservoir fracturing technology. It mainly includes: a digital twin system for digital well site construction, construction risk assessment, well site safety early warning, and full life-cycle monitoring, and for providing a digital display of the entire well site process during o"
CN118166616A,A paver leveling system and control method thereof,2024-03-19,2024-06-11,L8 Remote Operations,,N,[strong]remote control,,"The present invention relates to a paver leveling system and a control method thereof, the system comprising: a leveling sensor, a leveling remote control device and a leveling expansion device; the leveling sensor is used to detect the distance between the target road surface and the leveling reference plane; the leveling remote control device is used to control the leveling instrument of the pav"
